7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;155,31;2,04;0,00;0,00;
0,00;0,00;155,41;2,05;0,00;0,00;
0,00;0,00;155,50;2,04;0,00;0,00;
0,00;0,00;155,60;2,04;0,00;0,00;
0,00;0,00;155,70;2,08;0,00;0,00;
0,00;0,00;155,79;2,07;0,00;0,00;
0,00;0,00;155,89;2,04;0,00;0,00;
0,00;0,00;155,99;2,04;0,00;0,00;
0,00;0,00;156,08;2,05;0,00;0,00;
0,00;0,00;156,17;2,04;0,00;0,00;
0,00;0,00;156,27;2,05;0,00;0,00;
0,00;0,00;156,37;2,04;0,00;0,00;
0,00;0,00;156,46;2,04;0,00;0,00;
0,00;0,00;156,56;2,04;0,00;0,00;
0,00;0,00;156,66;2,04;0,00;0,00;
0,00;0,00;156,75;2,04;0,00;0,00;
0,00;0,00;156,85;2,03;0,00;0,00;
0,00;0,00;156,94;2,04;0,00;0,00;
0,00;0,00;157,04;2,04;0,00;0,00;
0,00;0,00;157,14;2,04;0,00;0,00;
0,00;0,00;157,23;2,06;0,00;0,00;
0,00;0,00;157,33;2,05;0,00;0,00;
0,00;0,00;157,42;2,04;0,00;0,00;
0,00;0,00;157,52;2,07;0,00;0,00;
0,00;0,00;157,62;2,07;0,00;0,00;
0,00;0,00;157,71;2,07;0,00;0,00;
0,00;0,00;157,81;2,08;0,00;0,00;
0,00;0,00;157,90;2,08;0,00;0,00;
0,00;0,00;158,00;2,10;0,00;0,00;
0,00;0,00;158,10;2,10;0,00;0,00;
0,00;0,00;158,19;2,13;0,00;0,00;
0,00;0,00;158,29;2,14;0,00;0,00;
0,00;0,00;158,38;2,14;0,00;0,00;
0,00;0,00;158,48;2,18;0,00;0,00;
0,00;0,00;158,58;2,19;0,00;0,00;
0,00;0,00;158,67;2,20;0,00;0,00;
0,00;0,00;158,77;2,20;0,00;0,00;
